year_month,count
2010-10,1
2010-12,2
2011-02,1
2011-03,1
2011-04,2
2011-05,2
2011-06,3
2011-07,1
2011-08,6
2011-09,7
2011-10,3
2011-11,2
2011-12,3
2012-02,4
2012-03,4
2012-04,3
2012-05,4
2012-06,10
2012-07,11
2012-08,8
2012-09,7
2012-10,12
2012-11,9
2012-12,5
2013-01,7
2013-02,10
2013-03,9
2013-04,17
2013-05,16
2013-06,22
2013-07,21
2013-08,23
2013-09,34
2013-10,31
2013-11,22
2013-12,16
2014-01,23
2014-02,19
2014-03,22
2014-04,42
2014-05,40
2014-06,64
2014-07,86
2014-08,82
2014-09,75
2014-10,70
2014-11,57
2014-12,42
2015-01,53
2015-02,38
2015-03,58
2015-04,56
2015-05,64
2015-06,67
2015-07,78
2015-08,70
2015-09,76
2015-10,93
2015-11,81
2015-12,58
2016-01,68
2016-02,62
2016-03,61
2016-04,77
2016-05,53
2016-06,67
2016-07,53
2016-08,52
2016-09,45
2016-10,67
2016-11,64
2016-12,58
2017-01,45
2017-02,31
2017-03,40
2017-04,40
2017-05,39
2017-06,44
2017-07,60
2017-08,36
2017-09,19
2017-10,48
2017-11,30
2017-12,15
2018-01,25
2018-02,31
2018-03,34
2018-04,35
2018-05,28
2018-06,26
2018-07,42
2018-08,43
2018-09,39
2018-10,37
2018-11,48
2018-12,45
2019-01,41
2019-02,31
2019-03,45
2019-04,49
2019-05,65
2019-06,63
2019-07,502
2019-08,156
2019-09,95
2019-10,75
2019-11,61
2019-12,86
2020-01,60
2020-02,57
2020-03,43
2020-04,24
2020-05,31
2020-06,46
2020-07,38
2020-08,44
2020-09,51
2020-10,48
2020-11,32
2020-12,28
2021-01,32
2021-02,24
2021-03,28
2021-04,29
2021-05,29
2021-06,37
2021-07,33
2021-08,34
2021-09,27
2021-10,24
2021-11,27
2021-12,26
2022-01,22
2022-02,21
2022-03,44
2022-04,35
2022-05,45
2022-06,81
2022-07,53
2022-08,78
2022-09,71
2022-10,46
2022-11,54
2022-12,37
2023-01,48
2023-02,52
2023-03,60
2023-04,44
2023-05,38
2023-06,49
2023-07,58
2023-08,69
2023-09,61
2023-10,57
2023-11,48
2023-12,50
2024-01,41
2024-02,43
2024-03,58
2024-04,37
2024-05,42
2024-06,33
2024-07,49
2024-08,39
2024-09,41
2024-10,26
2024-11,39
2024-12,32
2025-01,45
2025-02,30
2025-03,36
2025-04,44
2025-05,32
2025-06,40
2025-07,55
2025-08,42
2025-09,18
2025-10,7
